16	17
15	15
15	15
9	9
9	9
9	9
21	21
20	21
9	9
31	31
9	9
49	49
36	19
15	15
9	9
9	9
9	9
9	9
36	36
9	9
15	15
0	0
7	7
14	14
15	15
7	7
9	9
9	9
14	14
9	9
36	36
9	9
7	7
33	33
14	14
9	9
15	15
9	9
15	15
9	9
9	9
15	15
9	9
15	15
9	9
15	15
15	15
14	14
15	15
9	9
9	9
9	9
9	9
9	9
52	52
34	34
9	9
14	14
17	17
9	9
7	7
34	34
9	9
9	9
9	9
15	15
7	7
9	9
9	9
9	9
5	5
34	34
9	9
14	14
9	9
15	15
29	29
9	9
9	9
9	9
50	50
15	15
9	9
15	15
9	9
9	9
9	9
31	31
15	15
9	9
37	37
9	9
6	6
23	23
7	7
5	5
9	9
9	9
9	9
9	9
9	9
9	9
7	7
14	14
9	9
36	36
14	14
9	9
9	9
47	44
9	9
5	5
15	15
9	9
45	45
14	14
9	9
1	1
9	9
5	5
15	15
15	15
15	15
9	9
9	9
9	9
15	15
35	35
9	9
14	14
9	9
15	15
9	9
14	14
15	15
9	9
15	15
9	9
14	14
9	9
9	9
14	14
9	9
9	9
12	12
14	14
9	9
15	15
9	9
9	9
9	9
36	36
15	15
15	15
15	15
5	5
9	9
15	15
9	9
9	9
9	9
34	34
15	15
19	19
43	43
15	15
38	38
15	15
9	9
9	9
9	9
9	9
28	28
9	9
19	19
9	9
9	9
36	36
9	9
15	15
9	9
5	5
9	9
9	9
15	15
9	9
9	9
31	19
15	9
9	9
15	15
15	15
15	15
9	9
9	9
9	9
9	9
9	9
9	9
9	9
15	15
9	9
15	15
15	15
9	9
9	9
9	9
9	9
15	15
9	9
51	51
9	9
15	15
9	9
15	15
34	34
9	9
15	15
9	9
6	6
9	9
22	22
9	9
14	14
31	31
9	9
15	15
9	20
9	9
15	15
14	14
9	9
9	9
9	9
15	15
9	9
14	14
9	9
9	9
9	9
9	9
31	31
15	15
9	9
15	15
31	31
42	42
9	9
15	15
33	33
31	31
9	9
43	43
9	9
15	15
14	14
7	7
9	9
9	9
14	14
9	9
14	14
19	31
9	9
9	9
31	31
9	9
34	34
9	9
32	32
9	9
9	9
9	9
7	7
9	9
14	14
9	9
9	9
15	15
15	15
15	15
9	43
9	9
6	6
9	9
15	15
9	9
9	9
9	9
9	9
14	14
15	15
7	7
9	9
19	19
15	15
44	44
9	9
15	15
12	12
12	10
9	9
14	14
15	15
9	9
31	31
15	15
9	9
9	9
14	14
15	15
9	9
17	17
9	9
9	9
9	9
9	9
9	9
9	9
9	9
19	10
7	7
9	9
9	9
9	9
9	9
12	12
9	9
31	31
14	14
7	7
9	9
15	15
9	9
15	15
9	9
15	15
14	14
7	7
9	9
9	9
31	33
14	14
19	10
33	33
9	9
14	14
36	36
14	14
9	9
9	9
14	14
9	9
9	9
9	9
9	9
9	9
15	15
9	9
9	9
31	19
9	9
9	9
14	14
9	9
49	49
14	14
9	9
9	9
14	14
9	9
15	15
9	9
9	9
31	31
43	43
9	9
15	15
44	15
15	15
19	19
9	9
15	15
14	14
15	15
9	9
9	9
12	12
15	15
9	9
9	9
14	14
31	19
15	15
9	9
9	9
14	14
49	49
9	9
31	19
15	15
31	31
7	7
14	14
9	9
15	15
9	9
9	9
9	9
15	15
15	15
9	9
2	31
9	9
5	5
9	9
14	14
36	36
31	31
9	9
31	31
15	15
14	14
9	9
9	9
9	9
15	15
9	9
31	31
9	9
9	9
15	15
9	9
31	31
29	29
9	9
15	15
15	15
14	14
7	7
15	15
15	15
2	2
9	9
49	44
9	9
9	9
14	14
31	31
9	9
14	14
9	9
12	12
9	9
14	14
15	15
11	19
9	9
15	15
9	9
9	9
0	0
9	9
19	10
15	15
14	14
9	9
14	14
9	9
5	5
15	15
1	1
9	9
34	34
12	12
9	9
15	15
15	15
15	15
9	9
9	9
43	4
6	6
31	31
36	36
9	9
9	9
9	9
31	31
14	14
8	8
49	49
9	9
9	9
14	14
15	15
5	5
9	9
19	10
15	15
15	15
9	9
9	9
15	15
9	9
15	15
9	9
31	31
9	9
15	15
15	15
15	15
9	9
14	14
9	9
22	22
9	9
15	15
33	33
9	9
15	15
9	9
9	9
9	9
15	15
43	43
44	44
9	9
31	31
7	7
31	31
15	15
9	9
15	15
9	9
9	9
14	14
32	32
9	9
9	9
9	9
11	11
9	9
9	9
31	31
15	15
15	15
43	43
9	9
10	10
15	15
9	9
9	9
9	9
19	19
15	15
32	32
9	9
15	15
14	14
31	31
9	9
15	15
9	9
19	19
9	9
14	14
9	9
14	14
14	14
9	9
31	31
9	9
14	14
49	49
32	32
9	9
15	15
15	15
15	15
21	21
36	36
19	19
9	9
29	29
9	9
9	9
15	15
9	9
15	15
9	9
19	19
9	9
9	9
36	31
9	9
15	15
9	9
9	9
21	21
15	15
9	9
49	49
9	9
15	15
9	9
9	9
9	9
15	15
14	14
14	14
19	19
9	9
9	9
15	15
9	9
14	14
9	9
9	9
9	9
9	9
48	48
9	9
15	15
9	9
9	9
9	9
14	14
9	9
9	9
15	15
14	14
14	14
36	36
31	31
15	15
14	14
9	9
9	9
15	15
9	9
9	43
15	9
36	36
9	9
9	9
35	35
9	9
9	9
14	14
14	14
6	6
9	9
9	9
9	9
9	9
3	3
15	15
14	14
8	8
15	9
14	14
15	15
19	19
31	49
9	9
9	9
14	14
9	9
9	9
9	9
9	9
31	19
18	17
15	15
